feature,importance
CODE_GENDER,0.0036973835
FLAG_OWN_CAR,0.007442901
CNT_CHILDREN,0.0
AMT_INCOME_TOTAL,0.0
AMT_CREDIT,0.0008219936
AMT_ANNUITY,0.0020178186
REGION_POPULATION_RELATIVE,0.00017965926
DAYS_BIRTH,0.0010289171
DAYS_EMPLOYED,0.0060254843
DAYS_REGISTRATION,0.00051287224
DAYS_ID_PUBLISH,0.00024338491
OWN_CAR_AGE,0.0
FLAG_WORK_PHONE,0.0
FLAG_PHONE,0.00020598187
CNT_FAM_MEMBERS,0.0
REGION_RATING_CLIENT,0.06773807
HOUR_APPR_PROCESS_START,0.0009197568
LIVE_REGION_NOT_WORK_REGION,0.0
REG_CITY_NOT_LIVE_CITY,0.0
REG_CITY_NOT_WORK_CITY,0.0
LIVE_CITY_NOT_WORK_CITY,0.0
EXT_SOURCE_1,0.0
EXT_SOURCE_2,0.020188443
EXT_SOURCE_3,0.003767661
APARTMENTS_AVG,0.00817897
BASEMENTAREA_AVG,0.0
YEARS_BEGINEXPLUATATION_AVG,0.0
YEARS_BUILD_AVG,0.0
COMMONAREA_AVG,0.0
ELEVATORS_AVG,0.0
ENTRANCES_AVG,0.0015351663
FLOORSMAX_AVG,0.022654489
FLOORSMIN_AVG,0.0
LANDAREA_AVG,6.4254935e-05
LIVINGAPARTMENTS_AVG,0.0
LIVINGAREA_AVG,0.018819392
NONLIVINGAPARTMENTS_AVG,0.0024406416
NONLIVINGAREA_AVG,0.0010262543
OBS_30_CNT_SOCIAL_CIRCLE,2.2300994e-05
DEF_30_CNT_SOCIAL_CIRCLE,0.00037859663
DEF_60_CNT_SOCIAL_CIRCLE,0.0
DAYS_LAST_PHONE_CHANGE,0.0028509614
FLAG_DOCUMENT_3,0.00279186
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_16,0.0
FLAG_DOCUMENT_18,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0
AMT_REQ_CREDIT_BUREAU_MON,0.0
AMT_REQ_CREDIT_BUREAU_QRT,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,0.006181891
NAME_CONTRACT_TYPE_Cash loans,0.0
NAME_CONTRACT_TYPE_Revolving loans,0.0
FLAG_OWN_REALTY_N,0.00077407603
FLAG_OWN_REALTY_Y,0.0013361746
NAME_TYPE_SUITE_Other_B,0.0
NAME_TYPE_SUITE_Spouse_ partner,0.0
NAME_TYPE_SUITE_Unaccompanied,0.029769154
NAME_INCOME_TYPE_Commercial associate,0.0022951728
NAME_INCOME_TYPE_State servant,0.0
NAME_INCOME_TYPE_Working,0.0
NAME_EDUCATION_TYPE_Higher education,0.0
NAME_EDUCATION_TYPE_Incomplete higher,0.0
NAME_EDUCATION_TYPE_Lower secondary,0.0
NAME_EDUCATION_TYPE_Secondary / secondary special,0.03555671
NAME_FAMILY_STATUS_Civil marriage,0.020792035
NAME_FAMILY_STATUS_Married,0.0
NAME_FAMILY_STATUS_Separated,0.0
NAME_FAMILY_STATUS_Single / not married,0.0
NAME_FAMILY_STATUS_Widow,0.0
NAME_HOUSING_TYPE_House / apartment,0.023831
NAME_HOUSING_TYPE_Municipal apartment,0.0
NAME_HOUSING_TYPE_Office apartment,0.0
OCCUPATION_TYPE_Accountants,0.0
OCCUPATION_TYPE_Core staff,0.0
OCCUPATION_TYPE_Drivers,0.0
OCCUPATION_TYPE_High skill tech staff,0.0
OCCUPATION_TYPE_Laborers,0.0
OCCUPATION_TYPE_Medicine staff,0.0
OCCUPATION_TYPE_Sales staff,0.0
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0024331696
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.020104302
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0051468364
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.00085499085
ORGANIZATION_TYPE_Bank,0.0
ORGANIZATION_TYPE_Business Entity Type 3,0.012306392
ORGANIZATION_TYPE_Construction,0.0
ORGANIZATION_TYPE_Industry_ type 1,0.0
ORGANIZATION_TYPE_Industry_ type 10,0.0
ORGANIZATION_TYPE_Industry_ type 11,0.0
ORGANIZATION_TYPE_Industry_ type 12,0.0
ORGANIZATION_TYPE_Industry_ type 13,0.0
ORGANIZATION_TYPE_Industry_ type 2,0.0
ORGANIZATION_TYPE_Industry_ type 3,0.0
ORGANIZATION_TYPE_Industry_ type 4,0.0
ORGANIZATION_TYPE_Industry_ type 5,0.0
ORGANIZATION_TYPE_Industry_ type 6,0.0
ORGANIZATION_TYPE_Industry_ type 7,0.0
ORGANIZATION_TYPE_Industry_ type 8,0.0
ORGANIZATION_TYPE_Industry_ type 9,0.0
ORGANIZATION_TYPE_Kindergarten,0.0
ORGANIZATION_TYPE_Medicine,0.0
ORGANIZATION_TYPE_Military,0.0
ORGANIZATION_TYPE_Police,0.0
ORGANIZATION_TYPE_School,0.0
ORGANIZATION_TYPE_Security Ministries,0.0
ORGANIZATION_TYPE_Self-employed,0.0
ORGANIZATION_TYPE_Trade_ type 1,0.0
ORGANIZATION_TYPE_Trade_ type 2,0.0
ORGANIZATION_TYPE_Trade_ type 3,0.0
ORGANIZATION_TYPE_Trade_ type 4,0.0
ORGANIZATION_TYPE_Trade_ type 5,0.0
ORGANIZATION_TYPE_Trade_ type 6,0.0
ORGANIZATION_TYPE_Trade_ type 7,0.0
ORGANIZATION_TYPE_Transport_ type 1,0.0
ORGANIZATION_TYPE_Transport_ type 2,0.0
ORGANIZATION_TYPE_Transport_ type 3,0.0
ORGANIZATION_TYPE_Transport_ type 4,0.0
WALLSMATERIAL_MODE_Others,0.0
WALLSMATERIAL_MODE_Panel,0.0
WALLSMATERIAL_MODE_Stone_ brick,0.007066044
DAYS_EMPLOYED_ANOM,0.018094053
INCOME_CREDIT_PERC,0.0004004478
INCOME_PER_PERSON,0.0019332606
ANNUITY_INCOME_PERC,0.00047729944
PAYMENT_RATE,0.00013531378
BURO_DAYS_CREDIT_MIN,0.0
BURO_DAYS_CREDIT_MAX,7.046792e-06
BURO_DAYS_CREDIT_MEAN,0.007558575
BURO_DAYS_CREDIT_VAR,0.00030781972
BURO_DAYS_CREDIT_ENDDATE_MIN,0.0017179318
BURO_DAYS_CREDIT_ENDDATE_MAX,0.0021114748
BURO_DAYS_CREDIT_ENDDATE_MEAN,8.15555e-06
BURO_DAYS_CREDIT_UPDATE_MEAN,0.000330802
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,0.00036886494
BURO_AMT_CREDIT_SUM_MAX,0.0
BURO_AMT_CREDIT_SUM_MEAN,0.00014652529
BURO_AMT_CREDIT_SUM_SUM,0.0
BURO_AMT_CREDIT_SUM_DEBT_MAX,0.051450934
BURO_AMT_CREDIT_SUM_DEBT_MEAN,0.0045156153
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,0.0
BURO_AMT_CREDIT_SUM_LIMIT_SUM,0.0
BURO_AMT_ANNUITY_MAX,0.0006663094
BURO_AMT_ANNUITY_MEAN,0.0
BURO_MONTHS_BALANCE_MIN_MIN,0.00044835077
BURO_MONTHS_BALANCE_MAX_MAX,0.0
BURO_MONTHS_BALANCE_SIZE_MEAN,0.0
BURO_MONTHS_BALANCE_SIZE_SUM,0.0
BURO_CREDIT_ACTIVE_Active_MEAN,0.006318425
BURO_CREDIT_ACTIVE_Sold_MEAN,0.0
BURO_CREDIT_TYPE_Another type of loan_MEAN,0.0
BURO_CREDIT_TYPE_Car loan_MEAN,0.0
BURO_CREDIT_TYPE_Consumer credit_MEAN,0.012545861
BURO_CREDIT_TYPE_Credit card_MEAN,7.678093e-05
BURO_CREDIT_TYPE_Microloan_MEAN,0.0
BURO_CREDIT_TYPE_Mortgage_MEAN,0.0
BURO_STATUS_0_MEAN_MEAN,0.0060195057
BURO_STATUS_1_MEAN_MEAN,0.0
BURO_STATUS_2_MEAN_MEAN,0.0
BURO_STATUS_C_MEAN_MEAN,0.0
BURO_STATUS_X_MEAN_MEAN,0.00069361215
ACTIVE_DAYS_CREDIT_MIN,0.0005767315
ACTIVE_DAYS_CREDIT_MAX,8.983156e-05
ACTIVE_DAYS_CREDIT_MEAN,0.0035342732
ACTIVE_DAYS_CREDIT_VAR,0.014283568
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,0.00015945018
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,0.0007175617
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,0.017804906
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,0.010039629
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,0.016054941
ACTIVE_AMT_CREDIT_SUM_MAX,0.00027846885
ACTIVE_AMT_CREDIT_SUM_MEAN,0.000107220505
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,0.00019986766
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,0.0
ACTIVE_AMT_ANNUITY_MAX,0.0928654
ACTIVE_MONTHS_BALANCE_MIN_MIN,0.0
ACTIVE_MONTHS_BALANCE_MAX_MAX,0.0
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,0.0
ACTIVE_MONTHS_BALANCE_SIZE_SUM,0.0035195216
CLOSED_DAYS_CREDIT_MIN,0.001219627
CLOSED_DAYS_CREDIT_MAX,0.0012240421
CLOSED_DAYS_CREDIT_MEAN,0.000599395
CLOSED_DAYS_CREDIT_VAR,0.0023615598
CLOSED_DAYS_CREDIT_ENDDATE_MIN,0.0
CLOSED_DAYS_CREDIT_ENDDATE_MAX,0.01784566
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,0.0
CLOSED_DAYS_CREDIT_UPDATE_MEAN,0.0024316679
CLOSED_AMT_CREDIT_SUM_MAX,0.0001222843
CLOSED_AMT_CREDIT_SUM_MEAN,0.0019840084
CLOSED_AMT_CREDIT_SUM_SUM,0.006298745
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,0.0
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,0.0
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,0.0
CLOSED_AMT_ANNUITY_MEAN,0.0042127813
CLOSED_MONTHS_BALANCE_MIN_MIN,0.0
CLOSED_MONTHS_BALANCE_MAX_MAX,0.0
CLOSED_MONTHS_BALANCE_SIZE_MEAN,0.0
PREV_AMT_ANNUITY_MIN,0.001008689
PREV_AMT_ANNUITY_MAX,0.0
PREV_AMT_ANNUITY_MEAN,0.0012074213
