feature,importance
CODE_GENDER,0.0043620816
FLAG_OWN_CAR,0.0075040217
CNT_CHILDREN,0.0
AMT_INCOME_TOTAL,0.0012772059
AMT_CREDIT,0.00074299006
AMT_ANNUITY,0.0032173994
REGION_POPULATION_RELATIVE,0.005644257
DAYS_BIRTH,1.5792619e-05
DAYS_EMPLOYED,0.005527764
DAYS_REGISTRATION,0.0036513146
DAYS_ID_PUBLISH,0.0023890964
OWN_CAR_AGE,0.0
FLAG_WORK_PHONE,0.0
FLAG_PHONE,0.0
CNT_FAM_MEMBERS,0.00071368075
REGION_RATING_CLIENT,0.05774942
HOUR_APPR_PROCESS_START,0.0017994544
LIVE_REGION_NOT_WORK_REGION,0.0
REG_CITY_NOT_LIVE_CITY,0.0013106584
REG_CITY_NOT_WORK_CITY,0.0030445585
LIVE_CITY_NOT_WORK_CITY,0.0
EXT_SOURCE_1,0.0
EXT_SOURCE_2,0.015297936
EXT_SOURCE_3,0.0020318574
APARTMENTS_AVG,0.015137158
BASEMENTAREA_AVG,0.004659559
YEARS_BEGINEXPLUATATION_AVG,0.00089645653
YEARS_BUILD_AVG,0.0
COMMONAREA_AVG,0.0019333748
ELEVATORS_AVG,0.0
ENTRANCES_AVG,0.016640885
FLOORSMAX_AVG,0.01742394
FLOORSMIN_AVG,0.0
LANDAREA_AVG,0.0044707423
LIVINGAPARTMENTS_AVG,0.0
LIVINGAREA_AVG,0.0
NONLIVINGAPARTMENTS_AVG,0.013789801
NONLIVINGAREA_AVG,0.0036955294
OBS_30_CNT_SOCIAL_CIRCLE,0.006695681
DEF_30_CNT_SOCIAL_CIRCLE,0.0018464467
DEF_60_CNT_SOCIAL_CIRCLE,0.0
DAYS_LAST_PHONE_CHANGE,0.0005032338
FLAG_DOCUMENT_3,0.0
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_16,0.0
FLAG_DOCUMENT_18,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0
AMT_REQ_CREDIT_BUREAU_MON,0.0
AMT_REQ_CREDIT_BUREAU_QRT,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,0.010156162
NAME_CONTRACT_TYPE_Cash loans,0.0
NAME_CONTRACT_TYPE_Revolving loans,0.0
FLAG_OWN_REALTY_N,0.0
FLAG_OWN_REALTY_Y,0.0
NAME_TYPE_SUITE_Other_B,0.0
NAME_TYPE_SUITE_Spouse_ partner,0.0
NAME_TYPE_SUITE_Unaccompanied,0.0
NAME_INCOME_TYPE_Commercial associate,0.0032064354
NAME_INCOME_TYPE_State servant,0.0
NAME_INCOME_TYPE_Working,0.0001455762
