feature,importance
CODE_GENDER,0.0012408801
FLAG_OWN_CAR,0.0001698067
CNT_CHILDREN,0.0
AMT_INCOME_TOTAL,0.0017483858
AMT_CREDIT,0.0011857153
AMT_ANNUITY,0.00032960807
REGION_POPULATION_RELATIVE,0.0052574435
DAYS_BIRTH,0.0049810098
DAYS_EMPLOYED,0.0054478846
DAYS_REGISTRATION,0.0033596964
DAYS_ID_PUBLISH,0.0016072994
OWN_CAR_AGE,0.0
FLAG_WORK_PHONE,0.0
FLAG_PHONE,0.0002944574
CNT_FAM_MEMBERS,0.00091981195
REGION_RATING_CLIENT,0.052524332
HOUR_APPR_PROCESS_START,0.0016529824
LIVE_REGION_NOT_WORK_REGION,0.0
REG_CITY_NOT_LIVE_CITY,0.0
REG_CITY_NOT_WORK_CITY,0.0
LIVE_CITY_NOT_WORK_CITY,0.0014943453
EXT_SOURCE_1,0.0
EXT_SOURCE_2,0.016323164
EXT_SOURCE_3,0.0002567947
APARTMENTS_AVG,0.0069241365
BASEMENTAREA_AVG,0.0
YEARS_BEGINEXPLUATATION_AVG,0.0
YEARS_BUILD_AVG,0.0
COMMONAREA_AVG,0.0
ELEVATORS_AVG,0.0
ENTRANCES_AVG,0.0
FLOORSMAX_AVG,0.015365391
FLOORSMIN_AVG,0.0
LANDAREA_AVG,0.0014590754
LIVINGAPARTMENTS_AVG,0.0
LIVINGAREA_AVG,0.0017494521
NONLIVINGAPARTMENTS_AVG,0.008418846
NONLIVINGAREA_AVG,0.0015130503
OBS_30_CNT_SOCIAL_CIRCLE,0.00585664
DEF_30_CNT_SOCIAL_CIRCLE,0.0
DEF_60_CNT_SOCIAL_CIRCLE,0.0
DAYS_LAST_PHONE_CHANGE,0.00027368427
FLAG_DOCUMENT_3,0.0006609459
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_16,0.009002215
FLAG_DOCUMENT_18,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0
AMT_REQ_CREDIT_BUREAU_MON,0.0
AMT_REQ_CREDIT_BUREAU_QRT,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,0.0045148823
NAME_CONTRACT_TYPE_Cash loans,0.0
NAME_CONTRACT_TYPE_Revolving loans,0.0
FLAG_OWN_REALTY_N,0.0026649183
FLAG_OWN_REALTY_Y,0.00461821
NAME_TYPE_SUITE_Other_B,0.0
NAME_TYPE_SUITE_Spouse_ partner,0.0
NAME_TYPE_SUITE_Unaccompanied,0.011233584
NAME_INCOME_TYPE_Commercial associate,0.00045273599
NAME_INCOME_TYPE_State servant,0.0
NAME_INCOME_TYPE_Working,0.0
NAME_EDUCATION_TYPE_Higher education,0.0
NAME_EDUCATION_TYPE_Incomplete higher,0.0
NAME_EDUCATION_TYPE_Lower secondary,0.0
NAME_EDUCATION_TYPE_Secondary / secondary special,0.054773968
NAME_FAMILY_STATUS_Civil marriage,0.00036985177
NAME_FAMILY_STATUS_Married,0.0
NAME_FAMILY_STATUS_Separated,0.0
NAME_FAMILY_STATUS_Single / not married,0.00012823021
NAME_FAMILY_STATUS_Widow,0.0
NAME_HOUSING_TYPE_House / apartment,0.0
NAME_HOUSING_TYPE_Municipal apartment,0.0
NAME_HOUSING_TYPE_Office apartment,0.0
OCCUPATION_TYPE_Accountants,0.0
OCCUPATION_TYPE_Core staff,0.0
OCCUPATION_TYPE_Drivers,0.0
OCCUPATION_TYPE_High skill tech staff,0.0
OCCUPATION_TYPE_Laborers,0.0
OCCUPATION_TYPE_Medicine staff,0.0
OCCUPATION_TYPE_Sales staff,0.0
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0019725908
ORGANIZATION_TYPE_Bank,0.0
ORGANIZATION_TYPE_Business Entity Type 3,0.00023471337
ORGANIZATION_TYPE_Construction,0.0
ORGANIZATION_TYPE_Industry_ type 1,0.0
ORGANIZATION_TYPE_Industry_ type 10,0.0
ORGANIZATION_TYPE_Industry_ type 11,0.0
ORGANIZATION_TYPE_Industry_ type 12,0.0
ORGANIZATION_TYPE_Industry_ type 13,0.0
ORGANIZATION_TYPE_Industry_ type 2,0.0
ORGANIZATION_TYPE_Industry_ type 3,0.0
ORGANIZATION_TYPE_Industry_ type 4,0.0
ORGANIZATION_TYPE_Industry_ type 5,0.0
ORGANIZATION_TYPE_Industry_ type 6,0.0
ORGANIZATION_TYPE_Industry_ type 7,0.0
ORGANIZATION_TYPE_Industry_ type 8,0.0
ORGANIZATION_TYPE_Industry_ type 9,0.0
ORGANIZATION_TYPE_Kindergarten,0.0
ORGANIZATION_TYPE_Medicine,0.0
ORGANIZATION_TYPE_Military,0.0
ORGANIZATION_TYPE_Police,0.0
ORGANIZATION_TYPE_School,0.0
ORGANIZATION_TYPE_Security Ministries,0.0
ORGANIZATION_TYPE_Self-employed,0.0
ORGANIZATION_TYPE_Trade_ type 1,0.0
ORGANIZATION_TYPE_Trade_ type 2,0.0
ORGANIZATION_TYPE_Trade_ type 3,0.0
ORGANIZATION_TYPE_Trade_ type 4,0.0
ORGANIZATION_TYPE_Trade_ type 5,0.0
ORGANIZATION_TYPE_Trade_ type 6,0.0
ORGANIZATION_TYPE_Trade_ type 7,0.0
ORGANIZATION_TYPE_Transport_ type 1,0.0
ORGANIZATION_TYPE_Transport_ type 2,0.0
ORGANIZATION_TYPE_Transport_ type 3,0.0
ORGANIZATION_TYPE_Transport_ type 4,0.0
WALLSMATERIAL_MODE_Others,0.0
WALLSMATERIAL_MODE_Panel,0.0007146357
WALLSMATERIAL_MODE_Stone_ brick,0.0
DAYS_EMPLOYED_ANOM,0.00069433934
INCOME_CREDIT_PERC,1.507676e-05
INCOME_PER_PERSON,0.005038357
ANNUITY_INCOME_PERC,0.00070262776
PAYMENT_RATE,0.0024297622
BURO_DAYS_CREDIT_MIN,0.003293757
BURO_DAYS_CREDIT_MAX,0.0044363183
BURO_DAYS_CREDIT_MEAN,0.0003225883
BURO_DAYS_CREDIT_VAR,0.0013624697
BURO_DAYS_CREDIT_ENDDATE_MIN,0.00029862026
BURO_DAYS_CREDIT_ENDDATE_MAX,0.005171369
BURO_DAYS_CREDIT_ENDDATE_MEAN,0.023145663
BURO_DAYS_CREDIT_UPDATE_MEAN,0.0009885983
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,0.008417733
BURO_AMT_CREDIT_SUM_MAX,0.0
BURO_AMT_CREDIT_SUM_MEAN,5.2695636e-05
BURO_AMT_CREDIT_SUM_SUM,6.155128e-06
BURO_AMT_CREDIT_SUM_DEBT_MAX,0.068481416
BURO_AMT_CREDIT_SUM_DEBT_MEAN,6.193168e-06
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,0.0
BURO_AMT_CREDIT_SUM_LIMIT_SUM,0.0
BURO_AMT_ANNUITY_MAX,0.0
BURO_AMT_ANNUITY_MEAN,0.0010223301
BURO_MONTHS_BALANCE_MIN_MIN,0.0
BURO_MONTHS_BALANCE_MAX_MAX,0.0
BURO_MONTHS_BALANCE_SIZE_MEAN,0.0
BURO_MONTHS_BALANCE_SIZE_SUM,0.0003983721
BURO_CREDIT_ACTIVE_Active_MEAN,1.3822286e-05
BURO_CREDIT_ACTIVE_Sold_MEAN,0.0
BURO_CREDIT_TYPE_Another type of loan_MEAN,0.0
BURO_CREDIT_TYPE_Car loan_MEAN,0.0
BURO_CREDIT_TYPE_Consumer credit_MEAN,0.008484021
BURO_CREDIT_TYPE_Credit card_MEAN,0.0011355807
BURO_CREDIT_TYPE_Microloan_MEAN,0.0
BURO_CREDIT_TYPE_Mortgage_MEAN,0.0
BURO_STATUS_0_MEAN_MEAN,0.00020041376
BURO_STATUS_1_MEAN_MEAN,0.0
BURO_STATUS_2_MEAN_MEAN,0.0
BURO_STATUS_C_MEAN_MEAN,0.0
BURO_STATUS_X_MEAN_MEAN,0.0026236614
ACTIVE_DAYS_CREDIT_MIN,0.0
ACTIVE_DAYS_CREDIT_MAX,4.223569e-05
ACTIVE_DAYS_CREDIT_MEAN,0.0021963848
ACTIVE_DAYS_CREDIT_VAR,0.00014622354
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,7.217128e-06
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,0.0
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,0.006268448
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,0.021890325
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,0.0
ACTIVE_AMT_CREDIT_SUM_MAX,0.0041330745
ACTIVE_AMT_CREDIT_SUM_MEAN,0.0
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,8.125471e-05
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,6.847988e-05
ACTIVE_AMT_ANNUITY_MAX,0.12726456
ACTIVE_MONTHS_BALANCE_MIN_MIN,0.0
ACTIVE_MONTHS_BALANCE_MAX_MAX,0.0
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,0.0044427
ACTIVE_MONTHS_BALANCE_SIZE_SUM,0.0
CLOSED_DAYS_CREDIT_MIN,0.00023763748
CLOSED_DAYS_CREDIT_MAX,0.0
CLOSED_DAYS_CREDIT_MEAN,0.00826062
CLOSED_DAYS_CREDIT_VAR,0.026573088
CLOSED_DAYS_CREDIT_ENDDATE_MIN,0.011344545
CLOSED_DAYS_CREDIT_ENDDATE_MAX,0.022148563
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,0.0032868953
CLOSED_DAYS_CREDIT_UPDATE_MEAN,0.0064655566
CLOSED_AMT_CREDIT_SUM_MAX,0.0
CLOSED_AMT_CREDIT_SUM_MEAN,0.0020197676
CLOSED_AMT_CREDIT_SUM_SUM,0.00048490518
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,0.0
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,0.0
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,0.0
CLOSED_AMT_ANNUITY_MEAN,0.0
CLOSED_MONTHS_BALANCE_MIN_MIN,0.0
CLOSED_MONTHS_BALANCE_MAX_MAX,0.0
CLOSED_MONTHS_BALANCE_SIZE_MEAN,0.0
PREV_AMT_ANNUITY_MIN,0.0
PREV_AMT_ANNUITY_MAX,0.014856783
PREV_AMT_ANNUITY_MEAN,0.0027067591
PREV_AMT_APPLICATION_MIN,3.0482437e-05
PREV_AMT_APPLICATION_MAX,1.3707919e-05
PREV_AMT_APPLICATION_MEAN,0.0003166665
PREV_APP_CREDIT_PERC_MIN,0.0
PREV_APP_CREDIT_PERC_MAX,0.0
PREV_APP_CREDIT_PERC_MEAN,2.1533004e-05
PREV_APP_CREDIT_PERC_VAR,0.0002711954
PREV_AMT_DOWN_PAYMENT_MIN,0.0
PREV_AMT_DOWN_PAYMENT_MAX,0.0046214443
PREV_AMT_DOWN_PAYMENT_MEAN,0.0
PREV_AMT_GOODS_PRICE_MIN,0.00029069785
PREV_HOUR_APPR_PROCESS_START_MIN,5.784837e-05
PREV_HOUR_APPR_PROCESS_START_MAX,0.0
PREV_HOUR_APPR_PROCESS_START_MEAN,0.0016293537
PREV_RATE_DOWN_PAYMENT_MIN,0.0
PREV_RATE_DOWN_PAYMENT_MAX,0.0
PREV_RATE_DOWN_PAYMENT_MEAN,0.0
PREV_DAYS_DECISION_MIN,2.8087667e-05
PREV_DAYS_DECISION_MAX,0.0037724609
PREV_DAYS_DECISION_MEAN,0.00022366643
PREV_CNT_PAYMENT_MEAN,0.00056305714
PREV_CNT_PAYMENT_SUM,0.008758948
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,0.0
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,0.0
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,0.0
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,0.0015648268
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,0.0
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,0.00019150286
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,0.0
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,0.001732546
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,0.008218003
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,1.9803503e-05
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Urgent needs_MEAN,0.0
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,0.004460998
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,0.0
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,0.0
PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,0.005516191
PREV_NAME_PAYMENT_TYPE_Non-cash from your account_MEAN,0.0
PREV_CODE_REJECT_REASON_HC_MEAN,0.00046930232
PREV_CODE_REJECT_REASON_LIMIT_MEAN,0.0
PREV_CODE_REJECT_REASON_SCO_MEAN,0.0027969019
PREV_CODE_REJECT_REASON_SCOFR_MEAN,0.0
PREV_NAME_TYPE_SUITE_Children_MEAN,0.02235125
PREV_NAME_TYPE_SUITE_Family_MEAN,0.0
PREV_NAME_TYPE_SUITE_Other_A_MEAN,0.0
PREV_NAME_TYPE_SUITE_Other_B_MEAN,0.0
PREV_NAME_TYPE_SUITE_Spouse_ partner_MEAN,0.0
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,0.00012211109
PREV_NAME_TYPE_SUITE_nan_MEAN,0.0
PREV_NAME_CLIENT_TYPE_New_MEAN,0.00051182404
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,0.0
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,0.0022141533
PREV_NAME_GOODS_CATEGORY_Audio/Video_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Clothing and Accessories_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Construction Materials_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Consumer Electronics_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Furniture_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Gardening_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Jewelry_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,0.032757975
PREV_NAME_GOODS_CATEGORY_Photo / Cinema Equipment_MEAN,0.0
PREV_NAME_GOODS_CATEGORY_Sport and Leisure_MEAN,0.0
PREV_NAME_PORTFOLIO_Cash_MEAN,0.0002238085
PREV_NAME_PORTFOLIO_XNA_MEAN,0.00018669282
PREV_NAME_PRODUCT_TYPE_XNA_MEAN,0.0008456524
PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,1.714059e-05
PREV_NAME_PRODUCT_TYPE_x-sell_MEAN,0.0
PREV_CHANNEL_TYPE_AP+ (Cash loan)_MEAN,0.00054749724
PREV_CHANNEL_TYPE_Channel of corporate sales_MEAN,0.0
