feature,importance
CODE_GENDER,0.00023286747
FLAG_OWN_CAR,9.593519e-05
CNT_CHILDREN,0.0
AMT_INCOME_TOTAL,0.024692466
AMT_CREDIT,0.0029396997
AMT_ANNUITY,0.00043544275
REGION_POPULATION_RELATIVE,0.0023325835
DAYS_BIRTH,4.8649203e-05
DAYS_EMPLOYED,0.039285794
DAYS_REGISTRATION,0.009983763
DAYS_ID_PUBLISH,6.530821e-05
OWN_CAR_AGE,0.0
FLAG_WORK_PHONE,0.00025999252
FLAG_PHONE,0.00035925437
CNT_FAM_MEMBERS,0.0015511401
REGION_RATING_CLIENT,0.0
HOUR_APPR_PROCESS_START,4.971094e-05
LIVE_REGION_NOT_WORK_REGION,0.0
REG_CITY_NOT_LIVE_CITY,0.0018446884
REG_CITY_NOT_WORK_CITY,0.0
LIVE_CITY_NOT_WORK_CITY,0.0
EXT_SOURCE_1,0.0
EXT_SOURCE_2,0.012996317
EXT_SOURCE_3,0.00043001215
APARTMENTS_AVG,0.021308113
BASEMENTAREA_AVG,0.0018217949
YEARS_BEGINEXPLUATATION_AVG,0.033090133
YEARS_BUILD_AVG,0.0
COMMONAREA_AVG,0.0
ELEVATORS_AVG,0.0
ENTRANCES_AVG,0.0022633635
FLOORSMAX_AVG,0.036516123
FLOORSMIN_AVG,0.0
LANDAREA_AVG,8.1636965e-05
LIVINGAPARTMENTS_AVG,0.0
LIVINGAREA_AVG,0.0
NONLIVINGAPARTMENTS_AVG,0.009796112
NONLIVINGAREA_AVG,0.0013706986
OBS_30_CNT_SOCIAL_CIRCLE,0.00012960577
DEF_30_CNT_SOCIAL_CIRCLE,8.297597e-05
DEF_60_CNT_SOCIAL_CIRCLE,0.0
DAYS_LAST_PHONE_CHANGE,0.011873937
FLAG_DOCUMENT_3,0.00075625256
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_16,0.0
FLAG_DOCUMENT_18,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.00089425076
AMT_REQ_CREDIT_BUREAU_MON,0.0
AMT_REQ_CREDIT_BUREAU_QRT,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,0.011651145
NAME_CONTRACT_TYPE_Cash loans,0.0052263304
NAME_CONTRACT_TYPE_Revolving loans,0.0
FLAG_OWN_REALTY_N,0.0
FLAG_OWN_REALTY_Y,0.00075787853
NAME_TYPE_SUITE_Other_B,0.0
NAME_TYPE_SUITE_Spouse_ partner,0.0
NAME_TYPE_SUITE_Unaccompanied,0.0
NAME_INCOME_TYPE_Commercial associate,0.00032707205
NAME_INCOME_TYPE_State servant,0.0
NAME_INCOME_TYPE_Working,0.0
NAME_EDUCATION_TYPE_Higher education,0.0022105193
NAME_EDUCATION_TYPE_Incomplete higher,0.0
NAME_EDUCATION_TYPE_Lower secondary,0.0
NAME_EDUCATION_TYPE_Secondary / secondary special,0.043480527
NAME_FAMILY_STATUS_Civil marriage,0.0
NAME_FAMILY_STATUS_Married,0.0
