feature,importance
CODE_GENDER,0.00074720196
FLAG_OWN_CAR,0.012519091
CNT_CHILDREN,0.0
AMT_INCOME_TOTAL,0.006327531
AMT_CREDIT,0.0015376983
AMT_ANNUITY,0.0050066807
REGION_POPULATION_RELATIVE,0.0021040393
DAYS_BIRTH,0.0036174252
DAYS_EMPLOYED,0.009987132
DAYS_REGISTRATION,0.00033154868
DAYS_ID_PUBLISH,1.7944156e-05
OWN_CAR_AGE,0.00036788947
FLAG_WORK_PHONE,0.0
FLAG_PHONE,8.583337e-05
CNT_FAM_MEMBERS,0.00044075516
REGION_RATING_CLIENT,0.0
HOUR_APPR_PROCESS_START,0.0053199725
LIVE_REGION_NOT_WORK_REGION,0.0
REG_CITY_NOT_LIVE_CITY,0.0012090397
REG_CITY_NOT_WORK_CITY,0.0
LIVE_CITY_NOT_WORK_CITY,0.0
EXT_SOURCE_1,0.0030311865
EXT_SOURCE_2,0.018256057
EXT_SOURCE_3,0.00092069124
APARTMENTS_AVG,0.03393418
BASEMENTAREA_AVG,8.6458764e-05
YEARS_BEGINEXPLUATATION_AVG,0.0
YEARS_BUILD_AVG,0.0
COMMONAREA_AVG,0.0
ELEVATORS_AVG,0.0
ENTRANCES_AVG,0.0073459856
FLOORSMAX_AVG,0.0
FLOORSMIN_AVG,0.0
LANDAREA_AVG,0.00037956922
LIVINGAPARTMENTS_AVG,0.0
LIVINGAREA_AVG,0.01777641
NONLIVINGAPARTMENTS_AVG,0.0047884327
NONLIVINGAREA_AVG,0.005776981
OBS_30_CNT_SOCIAL_CIRCLE,0.004315848
DEF_30_CNT_SOCIAL_CIRCLE,0.0
DEF_60_CNT_SOCIAL_CIRCLE,6.8885424e-06
DAYS_LAST_PHONE_CHANGE,0.00010101151
FLAG_DOCUMENT_3,2.6267024e-05
FLAG_DOCUMENT_8,0.0009216093
FLAG_DOCUMENT_16,0.0
FLAG_DOCUMENT_18,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0
AMT_REQ_CREDIT_BUREAU_MON,0.0
AMT_REQ_CREDIT_BUREAU_QRT,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,0.005687846
NAME_CONTRACT_TYPE_Cash loans,0.0
NAME_CONTRACT_TYPE_Revolving loans,0.0
FLAG_OWN_REALTY_N,0.0
FLAG_OWN_REALTY_Y,0.0
NAME_TYPE_SUITE_Other_B,0.0
NAME_TYPE_SUITE_Spouse_ partner,0.0
NAME_TYPE_SUITE_Unaccompanied,0.0017129552
NAME_INCOME_TYPE_Commercial associate,0.00043010284
NAME_INCOME_TYPE_State servant,0.0
NAME_INCOME_TYPE_Working,0.0008918502
NAME_EDUCATION_TYPE_Higher education,0.0
NAME_EDUCATION_TYPE_Incomplete higher,0.0
NAME_EDUCATION_TYPE_Lower secondary,0.0
NAME_EDUCATION_TYPE_Secondary / secondary special,0.06180293
NAME_FAMILY_STATUS_Civil marriage,0.0
NAME_FAMILY_STATUS_Married,0.0
NAME_FAMILY_STATUS_Separated,0.0
NAME_FAMILY_STATUS_Single / not married,0.0
NAME_FAMILY_STATUS_Widow,0.0
NAME_HOUSING_TYPE_House / apartment,0.021376956
NAME_HOUSING_TYPE_Municipal apartment,0.0
NAME_HOUSING_TYPE_Office apartment,0.0
OCCUPATION_TYPE_Accountants,0.0
OCCUPATION_TYPE_Core staff,0.0
OCCUPATION_TYPE_Drivers,0.0
OCCUPATION_TYPE_High skill tech staff,0.0
OCCUPATION_TYPE_Laborers,0.0003941223
OCCUPATION_TYPE_Medicine staff,0.0
OCCUPATION_TYPE_Sales staff,0.0
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0
