feature,importance
CODE_GENDER,0.0015898927
FLAG_OWN_CAR,0.0011480002
CNT_CHILDREN,0.0
AMT_INCOME_TOTAL,0.02118026
AMT_CREDIT,0.0033506285
AMT_ANNUITY,0.0017106846
REGION_POPULATION_RELATIVE,0.0066631394
DAYS_BIRTH,0.0069753593
DAYS_EMPLOYED,0.022873757
DAYS_REGISTRATION,0.012778023
DAYS_ID_PUBLISH,0.0016124861
OWN_CAR_AGE,0.0
FLAG_WORK_PHONE,0.0
FLAG_PHONE,7.445892e-05
CNT_FAM_MEMBERS,0.0004801741
REGION_RATING_CLIENT,0.0
HOUR_APPR_PROCESS_START,0.017368596
LIVE_REGION_NOT_WORK_REGION,0.0
REG_CITY_NOT_LIVE_CITY,0.0
REG_CITY_NOT_WORK_CITY,0.0
LIVE_CITY_NOT_WORK_CITY,0.0030438749
EXT_SOURCE_1,0.0040054186
EXT_SOURCE_2,0.01411789
EXT_SOURCE_3,0.00018849707
APARTMENTS_AVG,0.023381501
BASEMENTAREA_AVG,0.0029045695
YEARS_BEGINEXPLUATATION_AVG,0.0
YEARS_BUILD_AVG,0.0019280578
COMMONAREA_AVG,0.0
ELEVATORS_AVG,0.0
ENTRANCES_AVG,0.0011952869
FLOORSMAX_AVG,0.039007
FLOORSMIN_AVG,0.0
LANDAREA_AVG,0.014690291
LIVINGAPARTMENTS_AVG,0.0
LIVINGAREA_AVG,2.4923838e-06
NONLIVINGAPARTMENTS_AVG,0.009604598
NONLIVINGAREA_AVG,0.0
OBS_30_CNT_SOCIAL_CIRCLE,0.00014724424
DEF_30_CNT_SOCIAL_CIRCLE,0.0
DEF_60_CNT_SOCIAL_CIRCLE,0.007909363
DAYS_LAST_PHONE_CHANGE,0.0035880306
FLAG_DOCUMENT_3,0.0010087893
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_16,0.0
FLAG_DOCUMENT_18,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0
AMT_REQ_CREDIT_BUREAU_MON,0.0
AMT_REQ_CREDIT_BUREAU_QRT,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,0.0028555812
NAME_CONTRACT_TYPE_Cash loans,0.0
NAME_CONTRACT_TYPE_Revolving loans,0.0
FLAG_OWN_REALTY_N,0.0
FLAG_OWN_REALTY_Y,0.0
NAME_TYPE_SUITE_Other_B,0.0
NAME_TYPE_SUITE_Spouse_ partner,0.0
NAME_TYPE_SUITE_Unaccompanied,0.0
NAME_INCOME_TYPE_Commercial associate,0.0042734165
NAME_INCOME_TYPE_State servant,0.0
NAME_INCOME_TYPE_Working,0.0
NAME_EDUCATION_TYPE_Higher education,0.00041552016
NAME_EDUCATION_TYPE_Incomplete higher,0.0
NAME_EDUCATION_TYPE_Lower secondary,0.0
NAME_EDUCATION_TYPE_Secondary / secondary special,0.05277316
NAME_FAMILY_STATUS_Civil marriage,0.0
NAME_FAMILY_STATUS_Married,0.0
NAME_FAMILY_STATUS_Separated,0.0055314153
NAME_FAMILY_STATUS_Single / not married,0.0001857817
NAME_FAMILY_STATUS_Widow,0.00042363763
NAME_HOUSING_TYPE_House / apartment,0.0051200218
NAME_HOUSING_TYPE_Municipal apartment,0.0
NAME_HOUSING_TYPE_Office apartment,0.0
OCCUPATION_TYPE_Accountants,0.0
OCCUPATION_TYPE_Core staff,0.0
OCCUPATION_TYPE_Drivers,0.0
OCCUPATION_TYPE_High skill tech staff,0.00021434066
OCCUPATION_TYPE_Laborers,0.00019238387
OCCUPATION_TYPE_Medicine staff,0.0
OCCUPATION_TYPE_Sales staff,0.0
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0
ORGANIZATION_TYPE_Bank,0.0
ORGANIZATION_TYPE_Business Entity Type 3,0.00047144725
ORGANIZATION_TYPE_Construction,0.0
ORGANIZATION_TYPE_Industry_ type 1,0.0
ORGANIZATION_TYPE_Industry_ type 10,0.0
ORGANIZATION_TYPE_Industry_ type 11,0.0
ORGANIZATION_TYPE_Industry_ type 12,0.0
ORGANIZATION_TYPE_Industry_ type 13,0.0
ORGANIZATION_TYPE_Industry_ type 2,0.0
ORGANIZATION_TYPE_Industry_ type 3,0.0
ORGANIZATION_TYPE_Industry_ type 4,0.0
ORGANIZATION_TYPE_Industry_ type 5,0.0
ORGANIZATION_TYPE_Industry_ type 6,0.0
ORGANIZATION_TYPE_Industry_ type 7,0.0
ORGANIZATION_TYPE_Industry_ type 8,0.0
ORGANIZATION_TYPE_Industry_ type 9,0.0
ORGANIZATION_TYPE_Kindergarten,0.0
ORGANIZATION_TYPE_Medicine,0.0
ORGANIZATION_TYPE_Military,0.0
ORGANIZATION_TYPE_Police,0.0
ORGANIZATION_TYPE_School,0.0
ORGANIZATION_TYPE_Security Ministries,0.0
ORGANIZATION_TYPE_Self-employed,0.0
ORGANIZATION_TYPE_Trade_ type 1,0.0
ORGANIZATION_TYPE_Trade_ type 2,0.0
ORGANIZATION_TYPE_Trade_ type 3,0.0
