feature,importance
CODE_GENDER,0.0003162575
FLAG_OWN_CAR,0.0011721221
CNT_CHILDREN,0.0
AMT_INCOME_TOTAL,0.0
AMT_CREDIT,0.0
AMT_ANNUITY,0.001959369
REGION_POPULATION_RELATIVE,0.00030925832
DAYS_BIRTH,6.7587986e-05
DAYS_EMPLOYED,0.013033213
DAYS_REGISTRATION,0.0025742997
DAYS_ID_PUBLISH,0.008178378
OWN_CAR_AGE,0.0
FLAG_WORK_PHONE,0.0
FLAG_PHONE,0.0
CNT_FAM_MEMBERS,0.00022325723
REGION_RATING_CLIENT,0.0
HOUR_APPR_PROCESS_START,0.0003306207
LIVE_REGION_NOT_WORK_REGION,0.0
REG_CITY_NOT_LIVE_CITY,0.0
REG_CITY_NOT_WORK_CITY,0.0
LIVE_CITY_NOT_WORK_CITY,0.0007431175
EXT_SOURCE_1,0.0
EXT_SOURCE_2,0.014534267
EXT_SOURCE_3,0.0026621763
APARTMENTS_AVG,0.0
BASEMENTAREA_AVG,0.0
YEARS_BEGINEXPLUATATION_AVG,0.014117159
YEARS_BUILD_AVG,0.0
COMMONAREA_AVG,0.0
ELEVATORS_AVG,0.0
ENTRANCES_AVG,0.0
FLOORSMAX_AVG,0.0
FLOORSMIN_AVG,0.0
LANDAREA_AVG,0.0015310757
LIVINGAPARTMENTS_AVG,0.0005584649
LIVINGAREA_AVG,0.00038666432
NONLIVINGAPARTMENTS_AVG,0.000101899655
NONLIVINGAREA_AVG,0.001855313
OBS_30_CNT_SOCIAL_CIRCLE,0.00039069887
DEF_30_CNT_SOCIAL_CIRCLE,0.00013746199
DEF_60_CNT_SOCIAL_CIRCLE,0.0
DAYS_LAST_PHONE_CHANGE,5.175205e-05
FLAG_DOCUMENT_3,0.0
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_16,0.0
FLAG_DOCUMENT_18,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0
AMT_REQ_CREDIT_BUREAU_MON,0.00018606563
AMT_REQ_CREDIT_BUREAU_QRT,0.00019677504
AMT_REQ_CREDIT_BUREAU_YEAR,0.0059808833
NAME_CONTRACT_TYPE_Cash loans,0.025983972
NAME_CONTRACT_TYPE_Revolving loans,0.0
FLAG_OWN_REALTY_N,0.0
FLAG_OWN_REALTY_Y,0.0
NAME_TYPE_SUITE_Other_B,0.0
