feature,importance
CODE_GENDER,13
FLAG_OWN_CAR,6
CNT_CHILDREN,0
AMT_INCOME_TOTAL,0
AMT_CREDIT,0
AMT_ANNUITY,0
REGION_POPULATION_RELATIVE,0
DAYS_BIRTH,0
DAYS_EMPLOYED,10
DAYS_REGISTRATION,0
DAYS_ID_PUBLISH,0
OWN_CAR_AGE,0
FLAG_WORK_PHONE,0
FLAG_PHONE,1
CNT_FAM_MEMBERS,5
REGION_RATING_CLIENT,0
HOUR_APPR_PROCESS_START,0
LIVE_REGION_NOT_WORK_REGION,0
REG_CITY_NOT_LIVE_CITY,0
REG_CITY_NOT_WORK_CITY,0
LIVE_CITY_NOT_WORK_CITY,0
EXT_SOURCE_1,0
EXT_SOURCE_2,15
EXT_SOURCE_3,7
APARTMENTS_AVG,0
BASEMENTAREA_AVG,0
YEARS_BEGINEXPLUATATION_AVG,2
YEARS_BUILD_AVG,0
COMMONAREA_AVG,0
ELEVATORS_AVG,0
ENTRANCES_AVG,0
FLOORSMAX_AVG,0
FLOORSMIN_AVG,0
LANDAREA_AVG,1
LIVINGAPARTMENTS_AVG,0
LIVINGAREA_AVG,0
NONLIVINGAPARTMENTS_AVG,3
NONLIVINGAREA_AVG,0
OBS_30_CNT_SOCIAL_CIRCLE,4
DEF_30_CNT_SOCIAL_CIRCLE,0
DEF_60_CNT_SOCIAL_CIRCLE,0
DAYS_LAST_PHONE_CHANGE,3
FLAG_DOCUMENT_3,1
FLAG_DOCUMENT_8,0
FLAG_DOCUMENT_16,0
FLAG_DOCUMENT_18,0
AMT_REQ_CREDIT_BUREAU_DAY,0
AMT_REQ_CREDIT_BUREAU_WEEK,0
AMT_REQ_CREDIT_BUREAU_MON,0
AMT_REQ_CREDIT_BUREAU_QRT,0
AMT_REQ_CREDIT_BUREAU_YEAR,4
NAME_CONTRACT_TYPE_Cash loans,0
NAME_CONTRACT_TYPE_Revolving loans,0
FLAG_OWN_REALTY_N,0
FLAG_OWN_REALTY_Y,1
NAME_TYPE_SUITE_Other_B,0
NAME_TYPE_SUITE_Spouse_ partner,0
NAME_TYPE_SUITE_Unaccompanied,0
NAME_INCOME_TYPE_Commercial associate,6
NAME_INCOME_TYPE_State servant,0
NAME_INCOME_TYPE_Working,1
NAME_EDUCATION_TYPE_Higher education,0
NAME_EDUCATION_TYPE_Incomplete higher,0
NAME_EDUCATION_TYPE_Lower secondary,0
NAME_EDUCATION_TYPE_Secondary / secondary special,8
NAME_FAMILY_STATUS_Civil marriage,1
NAME_FAMILY_STATUS_Married,0
NAME_FAMILY_STATUS_Separated,0
NAME_FAMILY_STATUS_Single / not married,1
