feature,importance
CODE_GENDER,0.016837409
FLAG_OWN_CAR,0.01427256
CNT_CHILDREN,0.0007263597
AMT_INCOME_TOTAL,0.000666979
AMT_CREDIT,0.0011531579
AMT_ANNUITY,0.0015434534
REGION_POPULATION_RELATIVE,0.0011571982
DAYS_BIRTH,0.0019613828
DAYS_EMPLOYED,0.001964972
DAYS_REGISTRATION,0.0013451979
DAYS_ID_PUBLISH,0.0013260896
OWN_CAR_AGE,0.0030578806
FLAG_WORK_PHONE,0.0013238889
FLAG_PHONE,0.01083959
CNT_FAM_MEMBERS,0.0045396597
REGION_RATING_CLIENT,0.0007694198
HOUR_APPR_PROCESS_START,0.001289895
LIVE_REGION_NOT_WORK_REGION,0.0027930848
REG_CITY_NOT_LIVE_CITY,0.0009935191
REG_CITY_NOT_WORK_CITY,0.0017390054
LIVE_CITY_NOT_WORK_CITY,0.010400413
EXT_SOURCE_1,0.0029971814
EXT_SOURCE_2,0.010343044
EXT_SOURCE_3,0.008044373
APARTMENTS_AVG,0.0016915939
BASEMENTAREA_AVG,0.0017388235
YEARS_BEGINEXPLUATATION_AVG,0.0014913192
YEARS_BUILD_AVG,0.0007799682
COMMONAREA_AVG,0.0012208065
ELEVATORS_AVG,0.0013698986
ENTRANCES_AVG,0.0015145428
FLOORSMAX_AVG,0.0017932482
FLOORSMIN_AVG,0.0022633476
LANDAREA_AVG,0.0017906707
LIVINGAPARTMENTS_AVG,0.0011875621
LIVINGAREA_AVG,0.0018817654
NONLIVINGAPARTMENTS_AVG,0.0018990153
NONLIVINGAREA_AVG,0.0033415025
OBS_30_CNT_SOCIAL_CIRCLE,0.012277428
DEF_30_CNT_SOCIAL_CIRCLE,0.004935248
DEF_60_CNT_SOCIAL_CIRCLE,0.002796376
DAYS_LAST_PHONE_CHANGE,0.0017911709
FLAG_DOCUMENT_3,0.00445741
FLAG_DOCUMENT_8,0.005249929
FLAG_DOCUMENT_16,0.000613666
FLAG_DOCUMENT_18,0.0015793589
AMT_REQ_CREDIT_BUREAU_DAY,0.00019717285
AMT_REQ_CREDIT_BUREAU_WEEK,0.0018983232
AMT_REQ_CREDIT_BUREAU_MON,0.0013127909
AMT_REQ_CREDIT_BUREAU_QRT,0.0031193562
AMT_REQ_CREDIT_BUREAU_YEAR,0.00097304874
NAME_CONTRACT_TYPE_Cash loans,0.004369441
NAME_CONTRACT_TYPE_Revolving loans,0.0012268673
FLAG_OWN_REALTY_N,0.026449237
FLAG_OWN_REALTY_Y,0.014883603
NAME_TYPE_SUITE_Other_B,0.0012561664
NAME_TYPE_SUITE_Spouse_ partner,0.0007122693
NAME_TYPE_SUITE_Unaccompanied,0.0064074416
NAME_INCOME_TYPE_Commercial associate,0.020365478
NAME_INCOME_TYPE_State servant,0.012987938
NAME_INCOME_TYPE_Working,0.015885329
NAME_EDUCATION_TYPE_Higher education,0.015306107
NAME_EDUCATION_TYPE_Incomplete higher,0.0013022344
NAME_EDUCATION_TYPE_Lower secondary,0.0015948103
NAME_EDUCATION_TYPE_Secondary / secondary special,0.11877028
NAME_FAMILY_STATUS_Civil marriage,0.0013795928
NAME_FAMILY_STATUS_Married,0.0016262524
NAME_FAMILY_STATUS_Separated,0.004757744
NAME_FAMILY_STATUS_Single / not married,0.009503313
NAME_FAMILY_STATUS_Widow,0.0008865116
NAME_HOUSING_TYPE_House / apartment,0.0023748341
NAME_HOUSING_TYPE_Municipal apartment,0.0005960216
NAME_HOUSING_TYPE_Office apartment,0.0018077932
OCCUPATION_TYPE_Accountants,0.0013714769
OCCUPATION_TYPE_Core staff,0.0011862329
OCCUPATION_TYPE_Drivers,0.0005266617
OCCUPATION_TYPE_High skill tech staff,0.0012731579
OCCUPATION_TYPE_Laborers,0.0016068249
OCCUPATION_TYPE_Medicine staff,0.0
OCCUPATION_TYPE_Sales staff,0.025652336
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0015608331
WEEKDAY_APPR_PROCESS_START_MONDAY,0.003958675
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0010969071
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0007831779
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0022105617
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,4.9529594e-05
ORGANIZATION_TYPE_Bank,0.0
ORGANIZATION_TYPE_Business Entity Type 3,0.0026573015
ORGANIZATION_TYPE_Construction,0.0006146018
ORGANIZATION_TYPE_Industry_ type 1,0.001518712
ORGANIZATION_TYPE_Industry_ type 10,0.0
ORGANIZATION_TYPE_Industry_ type 11,0.0010571897
ORGANIZATION_TYPE_Industry_ type 12,0.0
ORGANIZATION_TYPE_Industry_ type 13,0.0
ORGANIZATION_TYPE_Industry_ type 2,0.0
ORGANIZATION_TYPE_Industry_ type 3,0.000999677
ORGANIZATION_TYPE_Industry_ type 4,0.0035499723
ORGANIZATION_TYPE_Industry_ type 5,0.0
ORGANIZATION_TYPE_Industry_ type 6,0.0
ORGANIZATION_TYPE_Industry_ type 7,0.0
ORGANIZATION_TYPE_Industry_ type 8,0.0
ORGANIZATION_TYPE_Industry_ type 9,0.0013068957
ORGANIZATION_TYPE_Kindergarten,0.0009858322
ORGANIZATION_TYPE_Medicine,0.000999677
ORGANIZATION_TYPE_Military,0.0
ORGANIZATION_TYPE_Police,0.0
ORGANIZATION_TYPE_School,0.0013904286
ORGANIZATION_TYPE_Security Ministries,0.0
ORGANIZATION_TYPE_Self-employed,0.0026092748
ORGANIZATION_TYPE_Trade_ type 1,0.0
ORGANIZATION_TYPE_Trade_ type 2,0.0015970374
ORGANIZATION_TYPE_Trade_ type 3,0.0012299214
ORGANIZATION_TYPE_Trade_ type 4,0.0
ORGANIZATION_TYPE_Trade_ type 5,0.0
ORGANIZATION_TYPE_Trade_ type 6,0.0
ORGANIZATION_TYPE_Trade_ type 7,0.0026434488
ORGANIZATION_TYPE_Transport_ type 1,0.0
ORGANIZATION_TYPE_Transport_ type 2,0.0009999785
ORGANIZATION_TYPE_Transport_ type 3,0.0
ORGANIZATION_TYPE_Transport_ type 4,0.0011533396
WALLSMATERIAL_MODE_Others,0.0016946801
WALLSMATERIAL_MODE_Panel,0.0006569776
WALLSMATERIAL_MODE_Stone_ brick,0.0005584681
DAYS_EMPLOYED_ANOM,0.009998297
INCOME_CREDIT_PERC,0.0014984001
INCOME_PER_PERSON,0.0013122875
ANNUITY_INCOME_PERC,0.0020954865
PAYMENT_RATE,0.0023984918
BURO_DAYS_CREDIT_MIN,0.0018500306
BURO_DAYS_CREDIT_MAX,0.0011613234
BURO_DAYS_CREDIT_MEAN,0.0021295052
BURO_DAYS_CREDIT_VAR,0.0018930021
BURO_DAYS_CREDIT_ENDDATE_MIN,0.0018491434
BURO_DAYS_CREDIT_ENDDATE_MAX,0.0016561737
BURO_DAYS_CREDIT_ENDDATE_MEAN,0.0015349656
BURO_DAYS_CREDIT_UPDATE_MEAN,0.0010027374
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,0.002423859
BURO_AMT_CREDIT_SUM_MAX,0.0018643985
BURO_AMT_CREDIT_SUM_MEAN,0.0017558103
BURO_AMT_CREDIT_SUM_SUM,0.00095397036
BURO_AMT_CREDIT_SUM_DEBT_MAX,0.0028244494
BURO_AMT_CREDIT_SUM_DEBT_MEAN,0.0021597135
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,0.004005613
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,0.0028899992
BURO_AMT_CREDIT_SUM_LIMIT_SUM,0.0011059039
BURO_AMT_ANNUITY_MAX,0.0018007781
BURO_AMT_ANNUITY_MEAN,0.00064175104
BURO_MONTHS_BALANCE_MIN_MIN,0.0024829016
BURO_MONTHS_BALANCE_MAX_MAX,0.00058646855
BURO_MONTHS_BALANCE_SIZE_MEAN,0.0015958423
BURO_MONTHS_BALANCE_SIZE_SUM,0.0021188091
BURO_CREDIT_ACTIVE_Active_MEAN,0.0027567707
BURO_CREDIT_ACTIVE_Sold_MEAN,4.537148e-05
BURO_CREDIT_TYPE_Another type of loan_MEAN,0.0
BURO_CREDIT_TYPE_Car loan_MEAN,0.00091996224
BURO_CREDIT_TYPE_Consumer credit_MEAN,0.0021132117
BURO_CREDIT_TYPE_Credit card_MEAN,0.003180406
BURO_CREDIT_TYPE_Microloan_MEAN,0.0012524532
BURO_CREDIT_TYPE_Mortgage_MEAN,0.0017601426
BURO_STATUS_0_MEAN_MEAN,0.0016867304
BURO_STATUS_1_MEAN_MEAN,0.0025372896
BURO_STATUS_2_MEAN_MEAN,0.0026254815
BURO_STATUS_C_MEAN_MEAN,0.0014833026
BURO_STATUS_X_MEAN_MEAN,0.0015463618
ACTIVE_DAYS_CREDIT_MIN,0.0016411826
ACTIVE_DAYS_CREDIT_MAX,0.0016031064
ACTIVE_DAYS_CREDIT_MEAN,0.0012704236
ACTIVE_DAYS_CREDIT_VAR,0.0011957539
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,0.0011201623
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,0.0018041076
