feature,importance
CODE_GENDER,22
FLAG_OWN_CAR,29
CNT_CHILDREN,4
AMT_INCOME_TOTAL,3
AMT_CREDIT,14
AMT_ANNUITY,13
REGION_POPULATION_RELATIVE,12
DAYS_BIRTH,9
DAYS_EMPLOYED,29
DAYS_REGISTRATION,3
DAYS_ID_PUBLISH,13
OWN_CAR_AGE,36
FLAG_WORK_PHONE,4
FLAG_PHONE,14
CNT_FAM_MEMBERS,63
REGION_RATING_CLIENT,3
HOUR_APPR_PROCESS_START,3
LIVE_REGION_NOT_WORK_REGION,0
REG_CITY_NOT_LIVE_CITY,0
REG_CITY_NOT_WORK_CITY,3
LIVE_CITY_NOT_WORK_CITY,5
EXT_SOURCE_1,37
EXT_SOURCE_2,93
EXT_SOURCE_3,99
APARTMENTS_AVG,1
BASEMENTAREA_AVG,1
YEARS_BEGINEXPLUATATION_AVG,2
YEARS_BUILD_AVG,2
COMMONAREA_AVG,0
ELEVATORS_AVG,2
ENTRANCES_AVG,2
FLOORSMAX_AVG,37
FLOORSMIN_AVG,0
LANDAREA_AVG,2
LIVINGAPARTMENTS_AVG,0
LIVINGAREA_AVG,0
NONLIVINGAPARTMENTS_AVG,1
NONLIVINGAREA_AVG,22
OBS_30_CNT_SOCIAL_CIRCLE,107
DEF_30_CNT_SOCIAL_CIRCLE,57
DEF_60_CNT_SOCIAL_CIRCLE,9
DAYS_LAST_PHONE_CHANGE,7
FLAG_DOCUMENT_3,5
FLAG_DOCUMENT_8,8
FLAG_DOCUMENT_16,0
FLAG_DOCUMENT_18,0
AMT_REQ_CREDIT_BUREAU_DAY,0
AMT_REQ_CREDIT_BUREAU_WEEK,0
AMT_REQ_CREDIT_BUREAU_MON,6
AMT_REQ_CREDIT_BUREAU_QRT,30
AMT_REQ_CREDIT_BUREAU_YEAR,36
NAME_CONTRACT_TYPE_Cash loans,12
NAME_CONTRACT_TYPE_Revolving loans,7
FLAG_OWN_REALTY_N,23
FLAG_OWN_REALTY_Y,21
NAME_TYPE_SUITE_Other_B,0
NAME_TYPE_SUITE_Spouse_ partner,2
NAME_TYPE_SUITE_Unaccompanied,10
NAME_INCOME_TYPE_Commercial associate,22
NAME_INCOME_TYPE_State servant,24
NAME_INCOME_TYPE_Working,15
NAME_EDUCATION_TYPE_Higher education,12
NAME_EDUCATION_TYPE_Incomplete higher,10
NAME_EDUCATION_TYPE_Lower secondary,9
NAME_EDUCATION_TYPE_Secondary / secondary special,27
NAME_FAMILY_STATUS_Civil marriage,18
NAME_FAMILY_STATUS_Married,31
NAME_FAMILY_STATUS_Separated,24
NAME_FAMILY_STATUS_Single / not married,27
NAME_FAMILY_STATUS_Widow,8
NAME_HOUSING_TYPE_House / apartment,5
NAME_HOUSING_TYPE_Municipal apartment,4
NAME_HOUSING_TYPE_Office apartment,0
OCCUPATION_TYPE_Accountants,0
OCCUPATION_TYPE_Core staff,4
OCCUPATION_TYPE_Drivers,5
OCCUPATION_TYPE_High skill tech staff,0
OCCUPATION_TYPE_Laborers,9
OCCUPATION_TYPE_Medicine staff,0
OCCUPATION_TYPE_Sales staff,9
WEEKDAY_APPR_PROCESS_START_FRIDAY,13
WEEKDAY_APPR_PROCESS_START_MONDAY,17
WEEKDAY_APPR_PROCESS_START_SATURDAY,12
WEEKDAY_APPR_PROCESS_START_SUNDAY,13
WEEKDAY_APPR_PROCESS_START_TUESDAY,15
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,11
ORGANIZATION_TYPE_Bank,0
ORGANIZATION_TYPE_Business Entity Type 3,14
ORGANIZATION_TYPE_Construction,2
ORGANIZATION_TYPE_Industry_ type 1,0
ORGANIZATION_TYPE_Industry_ type 10,0
ORGANIZATION_TYPE_Industry_ type 11,0
ORGANIZATION_TYPE_Industry_ type 12,0
ORGANIZATION_TYPE_Industry_ type 13,0
ORGANIZATION_TYPE_Industry_ type 2,0
ORGANIZATION_TYPE_Industry_ type 3,0
ORGANIZATION_TYPE_Industry_ type 4,0
ORGANIZATION_TYPE_Industry_ type 5,0
ORGANIZATION_TYPE_Industry_ type 6,0
ORGANIZATION_TYPE_Industry_ type 7,0
ORGANIZATION_TYPE_Industry_ type 8,0
ORGANIZATION_TYPE_Industry_ type 9,0
ORGANIZATION_TYPE_Kindergarten,0
ORGANIZATION_TYPE_Medicine,0
ORGANIZATION_TYPE_Military,0
ORGANIZATION_TYPE_Police,0
ORGANIZATION_TYPE_School,0
ORGANIZATION_TYPE_Security Ministries,0
ORGANIZATION_TYPE_Self-employed,17
ORGANIZATION_TYPE_Trade_ type 1,0
ORGANIZATION_TYPE_Trade_ type 2,0
ORGANIZATION_TYPE_Trade_ type 3,0
ORGANIZATION_TYPE_Trade_ type 4,0
ORGANIZATION_TYPE_Trade_ type 5,0
ORGANIZATION_TYPE_Trade_ type 6,0
ORGANIZATION_TYPE_Trade_ type 7,2
ORGANIZATION_TYPE_Transport_ type 1,0
ORGANIZATION_TYPE_Transport_ type 2,0
ORGANIZATION_TYPE_Transport_ type 3,1
ORGANIZATION_TYPE_Transport_ type 4,0
WALLSMATERIAL_MODE_Others,0
WALLSMATERIAL_MODE_Panel,4
WALLSMATERIAL_MODE_Stone_ brick,5
DAYS_EMPLOYED_ANOM,44
INCOME_CREDIT_PERC,0
INCOME_PER_PERSON,1
ANNUITY_INCOME_PERC,15
PAYMENT_RATE,29
BURO_DAYS_CREDIT_MIN,5
BURO_DAYS_CREDIT_MAX,0
BURO_DAYS_CREDIT_MEAN,0
